en,ar,category
functional antagonism,مُناهَضَة وَظِيفِيَّة,Pharmacology and therapeutics
functional circulatory disorder,اضطراب دوراني وظيفي,Common entries
functional class,صنف وظيفيّ,Common entries
functional components of prostheses,مُكَوِّنات وظيفية في البدلة التعويضية,Rehabilitation
functional electrical stimulation,تنبيه وظيفي كهربي,Rehabilitation
functional foods,أطْعِمَة وَظِيفِيَّة,Nutrition and dietetics
functional hearing loss,فَقْدُ السَّمْع الوَظِيفيّ,Otorhinolaryngology
functional imaging,تَصوِيرٌ وَظِيفِيّ,Radiology and diagnostic technology
functional incontinence,سَلَسٌ وَظِيْفيٌّ,"Nursing, midwifery and tocology"
functional level,المستوى الوظيفي,Rehabilitation
functional level 0,المستوى الوظيفي 0,Rehabilitation
functional level 1,المستوى الوظيفي 1,Rehabilitation
functional level 1 prosthesis,بدلة تعويضية للمستوى الوظيفي 1,Rehabilitation
functional level 2,المستوى الوظيفي 2,Rehabilitation
functional level 3,المستوى الوظيفي 3,Rehabilitation
functional level 3 TF-prosthesis,بدلة تعويضية للمستوى الوظيفي 3 -,Rehabilitation
functional level 3-4 TT-prosthesis,بدلة تعويضية للمستوى الوظيفي 3 - 4,Rehabilitation
functional level 4,المستوى الوظيفي 4,Rehabilitation
functional magnetic imaging,تصوير وظيفي مغناطيسي,Radiology and diagnostic technology
functional magnetic resonance imaging (fMRI),التَّصْويرُ الوَظِيفي بالرَّنينِ المِغْناطيسِيّ,Radiology and diagnostic technology
functional method,طَرِيقَة وَظيفِيَّة,"Nursing, midwifery and tocology"
functional murmur,نَفْخَةٌ وَظيفِيَّة,Cardiology and cadiovascular surgery
functional needs,الاحتياجات الوظيفية,Rehabilitation
functional nursing,تَمْرِيض وَظِيفِي,"Nursing, midwifery and tocology"
functional overlay,تَرْفيد وَظيفِيّ,
functional pathology,الباثولوجْيا الوَظيفِيِّة,pathology
functional position of the hand,الوَضْعِيَّة الوَظِيفِيَّة لليَد,
functional progression,تَقَدُّم وَظِيفِيّ,Rehabilitation
functional recovery,تعافي وظيفيّ,Rehabilitation
functional residual capacity,السعة الثُمالية الوظيفية,"Chest, pulmonary and cardiothoratic surgery"
functional splint,جَبيرَةٌ وَظيفِيَّة,orthopedics
functional status,الحالة الوظيفية,Diagnostics(symptoms&signs)
functional urinary incontinence,سَلَسُ البَوْل الوَظِيْفيُّ,"Nursing, midwifery and tocology"
functional visual skills,مَهارَاتٌ بَصرِيَّة وَظِيفِيَّة,ophthalmology and optics
functional vomiting,قَيْءٌ وَظِيفِي,
functional magnetic resonance imaging of the brain,تصوير بالرنين المغناطيسي الوظيفي للدماغ,Common entries
functional MRI of the brain,تصوير بالرنين المغناطيسي الوظيفي للدماغ,Common entries
functionality,أداء الوظائف,Common entries
functionality measurements,قياسات وظيفية,Anthropology and anthropometrics
functioning intervention,تدخل وظيفي,Health services
functioning transplant,زرعة ناجحة,Common entries
fundal height,ارْتِفاعُ قاع الرحم,Obstetrics and gynecology
fundamentals of nursing,أساسِيَّات التَّمرِيض,"Nursing, midwifery and tocology"
fundic gastritis,الْتِهابُ قَاع ِالمَعِدة,Gastroenterology
fundiform ligament of the penis,الرِّباطُ المِقْلاَعِيُّ للقَضِيْب,anatomy
funding,تمويل,Common entries
funding bias,تحيز التمويل,Biostatistics
fundoplication,تَثْنِيَةُ القاع,surgery
fundus,قاع,Common entries
fundus examination,فحص قاع العين,Ophthalmology and optics
fundus of the gallbladder,قَاع المَرارَة,anatomy
fundus of the stomach,قاعُ المَعِدَة,anatomy
fundus of the urinary bladder,قاعُ المَثانَة,anatomy
fungaemia,وُجودُ الفُطريَّات فِي الدَّمْ,Mycology
fungal antibody tests,اختبار أضداد الفُطْرِيَّات,
fungal arthritis,الْتِهابُ الـمفْصِلِ الفُطارِيّ,Mycology
fungal infection,عدوى بالفُطريات,Common entries
fungal infection,عدوى بالفُطْرِيَّات,common entries
fungal infection of nail,عَدوَى الظفر بالفُطْرِيَّات,dermatology
fungal pneumonia,الْتِهابٌ رِئَوِيّ بالفُطْرِيَّات,"Chest, pulmonary and cardiothoratic surgery"
fungal septicemia,إنتان الدَم بالفُطْرِيَّات,hematology
fungemia,وُجودُ الفُطريَّات فِي الدَّمْ,hematology
fungi,فطريات,Mycology
fungiform,فُطْرِيُّ الشَّكْل,common entries
fungistatic,كابِحُ الفُطْرِيَّات,common entries
fungizone,فنغيزون,Pharmaceutical preperations
fungus,فُطْر,common entries
funic presentation,مَجِيءٌ سُرَرِي,Obstetrics and gynecology
funic souffle,نَفْخَةُ السُرُر,Obstetrics and gynecology
funicular myelitis,الْتِهابُ الحبل الشوكي الحَبْلِيّ,Neurology
funicular part of ductus deferens,الجُزْءُ الحَبْلِيُّ من الأَسْهَر,anatomy
funiculitis,الْتِهابُ الحَبْل,
funiculopexy,تَثْبيتُ الحَبْل,surgery
funiculus,الحَبْلَة,neurology
funiculus gracilis,الحبل الرشيق,Neurology
funis,حَبْل,common entries
funnel,قمع,Anatomy
funnel feeding,تَغذِيَة بالقِمْع,
funnel plot,اختطاط قُمعي,Biostatistics
furacin,فيوراسين,Pharmaceutical preperations
furadantin,فيورادانتين,Pharmaceutical preperations
furanocoumarins,مركبات فورانو كومارين,Common entries
furathiocarb,فيوراثيوكارب,Biochemistry and Chemistry
furazidin,فيورازيدين,Pharmaceutical preperations
furazolidone,فيورازوليدون,Pharmacology and therapeutics
furcation,مُنْفَرَق,dentistry
furfuraceous desquamation,تَوَسُّفٌ نُخالِيّ,dermatology
furfural,فيوفيورال,Biochemistry and Chemistry
furosemide,فيروسيمايد,Pharmaceutical preperations
furosemide,فوروسيمايد,Pharmacology and therapeutics
furoxone,فيوروكسون,Pharmaceutical preperations
furrow,تَلَم,anatomy
fursultiamine,فيورسيولتيامين,Pharmaceutical preperations
furuncle,دُمَّل,dermatology
furunculosis,دمامل منتشرة,dermatology
fusafungine,فيوسافنجين,Pharmaceutical preperations
fused teeth,أَسْنانٌ مُنْدَمِجَة,dentistry
fusiform,مِغْزَلِيُّ الشَّكْل,anatomy
fusiform gyrus,التَّلْفيفُ المِغْزَلِيّ,anatomy
fusiform megalourethra,ضَخامَةُ الإِحْليل المِغْزَلِيَّة,
fusimotor,مُحَرِّكٌ للمِغْزَل,neurology
fusion gen,جين التحامي,Genetics and genetic engineering
fusion imaging,تَصوِيرٌ انْدِماجِي,
fusional movement,حَرَكَة انْدِماجِيّة,
fusospirochetal disease,دَاء المُلْتَوِياتِ المِغْزَلِيَّة,
fussiness,تدقيق,Common entries
futile care,رعاية فاشلة,Common entries
future embryos for in vitro fertilisation,مضغ مستقبلية في الإخصاب في المختبر,Obstetrics and gynecology
fuzzy,غامض,Common entries
ghost cells,خلايا شَبَحيَّة,Histology
ghost hunting,صيد الأشباح,Common entries
ghost story,قصة أشباح,Common entries
gabapentin,غابابِنْتين,
gabapentin,غابابنتين,Pharmaceutical preperations
gabapentinoids,مركبات غابابينتينويد,Common entries
gadobutrol,غادوبيوترول,Radiology and diagnostic technology
gadodiamide,غادودياميد,Radiology and diagnostic technology
gadodoteric acid,حمض غادودوتيريك,Radiology and diagnostic technology
gadofosveset,غادوفوسفيسيت,Radiology and diagnostic technology
gadolinium chelate,خالِب للغادولينوم,Common entries
gadolinium chelate,غادولينيوم شيلات,Radiology and diagnostic technology
gadolinium-containing contrast agents,عامل تباين فيه غادولينيوم,Common entries
gadoteridol,غادوتيريدول,Radiology and diagnostic technology
gadoversetamide,غادوفيرسيتاميد,Radiology and diagnostic technology
gag,مُبَعِّدُ الفَكَّين - يَتَهَوَّع,
gag reflex (=pharyngeal reflex,المُنْعَكَسُ البُلْعُومِيّ,
gain-of-function mutations,طفرات مُكْسِبة للوظائف,Anthropology and anthropometrics
gait analysis,تحليل المشية,Rehabilitation
gait analysis with a prosthesis,تحليل المشية ببدلة تعويضية,Rehabilitation
gait determinant,مُحَدِّدُ المِشْيَة,
gait deviation,انحراف المشية,Rehabilitation
gait deviation,مشية منحرفة,Rehabilitation
gait disorder,اضطرابُ المِشْيَة,
gait pattern,نمط المشية,Rehabilitation
gait trainer,مُدَرِّب المشي,Rehabilitation
gait training,مُدَرِّب المشي,Rehabilitation
galactic astronomy,علم فلك المجرات,Common entries
galactokinase deficiency,عَوَزُ الغالاكتوكيناز,
galactolipids,دهنيات جلكتوزية,Maternal and child health
galactophoritis,الْتِهابُ القَنَواتِ اللَّبَنِيَّة في الثدي,"Taxonomy, nosology and classification"
galactophorous duct,قَناةٌ ناقِلَةٌ للبن,anatomy
galactorrhoea,ثَرّ اللَّبَن,"Taxonomy, nosology and classification"
galactosaemia,فرط الغالاكتوز في الدَّم,Genetics and genetic engineering
galactosasone,جلكتوزازون,Maternal and child health
galactose breath test,اخْتِبارُ الغاَلاَكْتُوز في النَّفَس,
galactose tolerance test,اِخْتِبارُ عَدَم تحمُّل الغالاكتوز,
galactosialidosis,داء اختزان الغالاكتوسياليد,Genetics and genetic engineering
galactoside permease,بِيرميَاز الغالاكتوزيد,Enzymology and Zymology
galactosis,تَوْليدُ اللَّبَن,
galactosyl ceramide lipidosis,تراكُم شحوم سِيراميد غالاكتوزيل,
galactosyl transferase,ناقِلَةُ الغالاكتوزيل,Enzymology and Zymology
galacturia,بِيْلَةٌ لَبَنِيَّة,
galacturia,بيلة غالاكتية,Endocrinology & metabolism
galanin,غالانِين,
galantamine,غالانْتامِين,Biochemistry and Chemistry
galantamine,غالانتامين,"Taxonomy, nosology and classification"
galcanezumab,غالكانيزيوماب,Pharmaceutical preperations
galena,غالينا,Biochemistry and Chemistry
gallamine triethiodide,تريثيوديد غالامين,Biochemistry and Chemistry
gallbladder,مرارة,Anatomy
gallbladder carcinoma,سَرَطانَةُ المَرارَة,oncology
gallbladder nuclear scanning,المَسْحُ النَّوَوي للمَرارَة,Nuclear medicine
gallbladder stone,حصاة في المرارة,Common entries
gallinaceous,دجاجي,Biology
gallium scan,صورة المسح بالغاليُوم,Nuclear medicine
gallopamil,غالوباميل,Pharmaceutical preperations
gallstone pancreatitis,الْتِهابُ البَنكرِياس بحَصيات المرارة,Surgery
galsulfase,غالسُلْفات,Pharmaceutical preperations
galsulfase,غالسولفاز,Pharmaceutical preperations
galvanic electric stimulation,تَنْبيهٌ كَهربيٌّ غَلْفانِيّ,
galvanic skin response,استجابة جلدية غلفانية,Physiatrics and physical medicine
galvanotonic,تَوَتُّرِيٌّ غَلْفانِيّ,Physiology
gamboge,كامبوج,"Taxonomy, nosology and classification"
game knee,رُكْبَةُ اللعب,Orthopedics
game theory,نَظَرِيَّة المُبَاراة أو اللعبة,Biostatistics
